HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N5.HOG0000010	OG0000010	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001615t1_115-3306.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000600t1_116-3253.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001273t1_147-3281.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm007313t1_131-1367.p1							
N5.HOG0000011	OG0000011	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001898t1_255-3140.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000822t1_2-2941.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001598t1_2-2947.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001197t1_12-2939.p1							
N5.HOG0000012	OG0000012	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001931t1_37-3018.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000721t1_33-3047.p1					species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm001336t1_50-3031.p1				
N5.HOG0000013	OG0000013	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002458t1_231-2624.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm001121t1_225-2444.p1		species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001737t1_290-2161.p1							
N5.HOG0000014	OG0000014	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000157t1_53-8032.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000032t1_28-7995.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000125t1_400-8376.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000060t1_104-8080.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000089t1_110-8077.p1				
N5.HOG0000015	OG0000015	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001332t1_180-3722.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000463t1_93-3686.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001051t1_101-3652.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000707t1_80-3610.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000865t1_94-3681.p1				
N5.HOG0000016	OG0000016	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002210t1_85-2865.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000942t1_251-2869.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001599t1_14-2722.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001263t1_102-2882.p1							
N5.HOG0000017	OG0000017	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002225t1_199-2826.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000900t1_231-2882.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001853t1_62-2713.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001264t1_149-2833.p1							
N5.HOG0000018	OG0000018	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm003414t1_188-2512.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000769t1_136-2562.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000626t1_104-4411.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000508t1_72-4466.p1				
N5.HOG0000019	OG0000019	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000195t1_122-5341.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000913t1_81-2753.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm003181t1_208-2139.p1								
N5.HOG0000020	OG0000020	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000865t1_159-4385.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000281t1_171-4394.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000663t1_99-4331.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000465t1_126-4364.p1							
N5.HOG0000021	OG0000021	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001268t1_87-3737.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000444t1_150-3797.p1		species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000665t1_172-3822.p1							
N5.HOG0000022	OG0000022	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001282t1_203-3733.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000474t1_86-3604.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001007t1_141-3710.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000550t1_219-3740.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000860t1_848-4342.p1				
N5.HOG0000023	OG0000023	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001298t1_875-2926.p1			species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm003791t1_57-1925.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000664t1_827-2878.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm002370t2_390-2246.p1				
N5.HOG0000024	OG0000024	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001410t1_201-3665.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000672t1_63-3540.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001119t1_272-3742.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm002453t1_108-2090.p1							
N5.HOG0000025	OG0000025	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001417t1_146-3508.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000540t1_122-3457.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001199t1_467-3802.p1	species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000798t2_133-3474.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000996t1_216-3527.p1				
N5.HOG0000026	OG0000026	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001047t1_370-4002.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000448t1_267-3896.p1		species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000541t1_359-3991.p1			species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000858t1_249-3878.p1				
N5.HOG0000027	OG0000027	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000129t1_378-8996.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000051t1_352-7110.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000094t1_159-8705.p1								
N5.HOG0000028	OG0000028	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001217t1_294-3614.p1		species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000791t1_541-3030.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000958t1_401-3562.p1								
N5.HOG0000029	OG0000029	n0					species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001082t1_204-3116.p1							
