HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N1.HOG0000010	OG0000010	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000474t1_180-3044.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001070t1_122-3304.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001338t1_103-3309.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000570t1_187-3381.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000529t2_164-3739.p1	
N1.HOG0000011	OG0000011	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000529t1_98-2788.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001361t1_177-3134.p1			species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm001818t1_1-1827.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001240t1_5-2437.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm002431t1_4-1875.p1	
N1.HOG0000012	OG0000012	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000389t1_139-3123.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001297t1_93-3110.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001597t1_269-3277.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000718t1_30-2684.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000700t1_57-3077.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000786t1_80-3283.p1	
N1.HOG0000013	OG0000013	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000507t1_112-2835.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm002480t1_380-2179.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm002038t1_1007-3031.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000780t1_500-2674.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm001005t1_656-2674.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000602t2_786-3311.p1	
N1.HOG0000014	OG0000014	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000009t1_62-7585.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000080t1_142-7656.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000103t1_16-7977.p1					
N1.HOG0000015	OG0000015	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000208t1_110-3703.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000783t1_191-3928.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001090t1_100-3633.p1				species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000431t2_212-4036.p1	
N1.HOG0000016	OG0000016	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000471t1_91-2877.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001984t1_13-2586.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001865t1_100-2880.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000662t1_98-2878.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000864t1_114-2894.p1		
N1.HOG0000017	OG0000017	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000495t1_162-2912.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001570t1_181-2916.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001885t1_30-2699.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000990t1_1-2583.p1			
N1.HOG0000018	OG0000018	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm001111t1_109-3811.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000497t1_139-4473.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000588t1_99-4511.p1				species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000504t1_257-3742.p1	
N1.HOG0000019	OG0000019	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000606t1_219-3940.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000141t1_92-5458.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000133t1_193-5394.p1				species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000180t1_1145-5365.p1	
N1.HOG0000020	OG0000020	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000202t1_1-3915.p1					species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000683t1_142-4356.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000147t1_127-4323.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000225t1_143-4360.p1		
N1.HOG0000021	OG0000021	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm001044t1_155-3857.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000838t1_109-3759.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001033t1_123-3770.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000278t1_131-3778.p1	species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000397t1_153-3800.p1		
N1.HOG0000022	OG0000022	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000204t1_165-3773.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000714t1_195-3170.p1						
N1.HOG0000023	OG0000023	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000201t1_65-3682.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm001004t1_1191-3107.p1			species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm004251t1_220-1146.p1		species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000329t3_1291-3852.p1	
N1.HOG0000024	OG0000024	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000300t1_21-3717.p1				species06.transcriptome.dna.fa.transdecoder.pep|AseaqSEVm000925t1_21-3503.p1	species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001141t1_107-3571.p1					
N1.HOG0000025	OG0000025	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000273t1_134-3442.p1					species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm001228t1_125-3451.p1		species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000372t1_276-3620.p1			
N1.HOG0000026	OG0000026	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000137t1_122-4129.p1							species09.transcriptome.dna.fa.transdecoder.pep|Cuaame_EVm000197t1_341-3970.p1			
N1.HOG0000027	OG0000027	n0							species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000062t1_509-9357.p1			species10.transcriptome.dna.fa.transdecoder.pep|AlpvirEVm000084t1_2-5521.p1	species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000261t1_491-4612.p1	
N1.HOG0000028	OG0000028	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000469t1_2-3019.p1					species07.transcriptome.dna.fa.transdecoder.pep|ParausEVm000999t1_226-3714.p1					
N1.HOG0000029	OG0000029	n0		species02.transcriptome.dna.fa.transdecoder.pep|BommorEVm000400t1_111-3059.p1									species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000961t1_46-2964.p1	
N1.HOG0000030	OG0000030	-											species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000518t1_28-3696.p1, species11.transcriptome.dna.fa.transdecoder.pep|GamcheEVm000526t3_63-3725.p1	
