HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N9.HOG0000018	OG0000018	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000769t1_136-2562.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000626t1_104-4411.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000508t1_72-4466.p1				
N9.HOG0000019	OG0000019	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000913t1_81-2753.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm003181t1_208-2139.p1								
N9.HOG0000020	OG0000020	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000281t1_171-4394.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000663t1_99-4331.p1								
N9.HOG0000021	OG0000021	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000444t1_150-3797.p1									
N9.HOG0000022	OG0000022	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000474t1_86-3604.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001007t1_141-3710.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000860t1_848-4342.p1				
N9.HOG0000023	OG0000023	n0				species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm003791t1_57-1925.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm002370t2_390-2246.p1				
N9.HOG0000024	OG0000024	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000672t1_63-3540.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001119t1_272-3742.p1								
N9.HOG0000025	OG0000025	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000540t1_122-3457.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm001199t1_467-3802.p1				species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000996t1_216-3527.p1				
N9.HOG0000026	OG0000026	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000448t1_267-3896.p1					species08.transcriptome.dna.fa.transdecoder.pep|GeclaM_EVm000858t1_249-3878.p1				
N9.HOG0000027	OG0000027	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000051t1_352-7110.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000094t1_159-8705.p1								
N9.HOG0000028	OG0000028	n0			species03.transcriptome.dna.fa.transdecoder.pep|MetmagEVm000791t1_541-3030.p1	species04.transcriptome.dna.fa.transdecoder.pep|CalsaE_EVm000958t1_401-3562.p1								
